@relation creditcard-weka.filters.unsupervised.instance.Resample-S1-Z5.0

@attribute Time numeric
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute Amount numeric
@attribute Class {0,1}

@data
160466,-2.248971,-1.982501,-1.285486,-2.092348,1.512952,-2.149212,0.39884,0.009753,-1.278035,-0.84921,-1.463697,-0.684603,-0.785323,1.375559,0.915826,-3.257223,0.943905,1.564735,1.37263,0.441975,0.217312,0.1005,-0.407628,0.536201,1.470398,0.48021,-0.141845,-0.358375,145.8,0
117596,2.061359,-0.047083,-1.060125,0.41825,-0.1443,-1.217912,0.188331,-0.338308,0.533794,0.071822,-0.72514,0.466526,0.109451,0.266655,0.034231,-0.109976,-0.287505,-0.878266,0.14239,-0.221315,-0.28803,-0.693703,0.340591,0.047605,-0.298054,0.195206,-0.07045,-0.059714,1.98,0
29633,-0.697894,1.010449,1.575473,1.779442,-0.212302,-0.227076,0.554638,-0.155702,-0.255471,0.213346,-0.775396,-0.254403,-0.555545,0.014501,0.547137,-1.140673,0.639628,-0.132582,1.809136,0.015186,-0.055732,-0.069504,-0.289604,0.390298,0.456975,-0.089808,-0.371611,0.068766,32.38,0
41416,0.271994,-2.737118,0.114183,-0.090708,-1.750009,0.424753,-0.381162,-0.018583,0.186178,0.119399,-1.727775,-0.725651,-0.03721,-0.768516,-0.495066,1.116208,0.377137,-1.061624,1.094268,1.255534,0.290923,-0.335537,-0.627308,-0.523477,0.284506,-0.246078,-0.060874,0.117236,598.52,0
47454,-1.176577,-1.172877,1.432388,-1.431982,-0.056468,-0.517569,0.184114,0.114787,-0.688048,0.392835,0.913329,-1.135357,-2.625749,-0.032174,-1.381922,0.501104,0.58821,-1.344844,0.189635,0.524926,0.261313,0.516481,0.253206,0.180029,0.008194,-0.346822,0.10633,-0.034765,142.9,0
50333,-0.522483,0.358691,1.381969,-1.516662,0.409919,-0.641718,0.861071,-0.151466,0.484542,-1.137545,1.507591,0.765213,-1.121524,0.401547,0.135071,-1.464536,0.231509,-0.067338,0.909075,-0.031561,0.1058,0.617557,-0.386006,0.25457,0.391803,-0.598501,-0.044234,-0.138915,1,0
137139,2.022116,-0.346746,-0.751123,0.102695,-0.131755,-0.182889,-0.329124,-0.132727,0.88979,-0.050718,-1.466986,0.782602,1.650519,-0.379315,0.444937,0.653124,-0.950158,-0.327568,0.337077,-0.012233,-0.29782,-0.748215,0.272092,-0.977101,-0.474121,0.287306,-0.037403,-0.04603,37.48,0
163984,2.110769,-0.054247,-1.350024,0.252275,0.211098,-0.813482,0.184197,-0.302525,0.557632,0.068165,-1.324016,0.32029,0.391432,0.192946,0.067927,0.086684,-0.551077,-0.66945,0.40513,-0.188421,-0.332219,-0.809555,0.252151,-0.649077,-0.199245,0.238078,-0.070325,-0.06647,1.98,0
2846,1.233084,0.373278,0.445418,0.768739,-0.517563,-1.256164,0.104029,-0.233175,-0.012273,-0.287584,0.250549,0.421242,0.316921,-0.297377,1.053906,0.376591,0.10472,-0.423612,-0.322267,-0.081434,-0.264364,-0.757897,0.16768,0.67556,0.177552,0.073693,-0.021715,0.034479,1.98,0
31425,-0.571924,1.33751,0.931097,0.86427,0.04683,-0.338708,0.407338,0.368138,-0.907475,-0.499778,-0.371416,0.370985,0.54323,0.593008,1.169809,-0.52026,0.231734,-0.360528,0.065897,-0.123409,0.231217,0.654375,-0.09545,0.104237,-0.291629,-0.304523,0.069226,0.099419,5.27,0
38123,1.237725,0.187452,0.490979,0.632981,-0.521406,-0.994787,0.053574,-0.188463,0.097079,-0.060848,-0.279278,0.18177,-0.032992,0.311533,1.072126,0.322025,-0.40414,-0.495518,-0.118698,-0.09179,-0.254666,-0.780104,0.129855,0.365726,0.201853,0.09479,-0.033566,0.020259,13.49,0
126745,-1.306079,2.064551,1.461459,4.241367,0.398392,1.014163,0.223327,0.594102,-2.051199,1.537325,-1.121832,-0.073772,1.103705,0.108017,0.477443,-0.030218,0.333457,-0.419771,1.591969,0.398385,-0.51668,-1.398984,0.147154,0.594909,0.046838,-0.043256,0.21993,0.156023,18.8,0
80068,-1.509686,-1.036653,0.904214,-0.537709,0.297794,2.649895,1.877367,0.402319,-0.272157,-1.077617,1.190875,0.744243,-0.308802,-0.071867,-0.326342,-0.949852,0.354472,-1.692938,-1.403912,0.845518,0.19314,0.095362,0.944286,-1.729794,-0.201252,0.282775,-0.204149,-0.105724,449.85,0
52992,1.276053,0.14638,0.234645,0.446013,-0.264123,-0.699298,0.043073,-0.194898,0.115436,-0.07776,-0.698451,0.227567,0.529648,0.146062,1.008797,0.381261,-0.580432,-0.230028,0.012902,-0.035628,-0.092782,-0.247655,-0.067155,-0.074582,0.446296,0.440587,-0.039926,0.01079,15.9,0
134684,2.070719,0.350131,-2.020697,1.107143,0.9129,-0.921738,0.763457,-0.41303,-0.165854,0.356127,-0.830214,0.1295,-0.023367,0.785008,0.276196,-0.408874,-0.455854,-0.439632,-0.397635,-0.24378,0.116782,0.412323,0.007698,0.603288,0.494393,-0.508233,-0.034662,-0.057124,10,0
142953,0.087306,0.793944,-0.257846,-1.034719,1.197711,0.083119,0.895802,0.031411,-0.269761,-0.260933,-0.343669,0.59542,0.546368,0.155818,-0.997661,0.428419,-1.125512,0.060716,0.649745,0.038237,-0.288268,-0.657542,-0.107682,-1.442073,-0.33715,0.210011,0.246761,0.073642,4.49,0
168447,1.978345,-0.39165,-0.446792,0.242485,-0.490649,-0.176112,-0.609597,0.123754,1.150591,0.027093,0.353079,0.718272,-0.552373,0.259786,0.055735,0.556736,-0.928909,0.53333,0.398107,-0.247159,-0.168421,-0.391065,0.311135,-0.555156,-0.416125,-0.609801,0.026953,-0.047406,5,0
