@relation rmftsa-ladata

@attribute Total_Mortality numeric
@attribute Respiratory_Mortality numeric
@attribute Cardiovascular_Mortality numeric
@attribute Temperature numeric
@attribute Relative_Humidity numeric
@attribute Carbon_Monoxide numeric
@attribute Sulfur_Dioxideglm.LAshumway numeric
@attribute Nitrogen_Dioxide numeric
@attribute Hydrocarbons numeric
@attribute Ozone numeric
@attribute binaryClass {P,N}

@data
183.63,11.9,97.85,72.38,29.2,11.51,3.37,9.64,45.79,6.69,N
191.05,10.75,104.64,67.19,67.51,8.92,2.59,10.05,43.9,6.83,N
180.09,9.33,94.36,62.94,61.42,9.48,3.29,7.8,32.18,4.98,N
184.67,9.54,98.05,72.49,58.99,10.28,3.04,13.39,40.43,9.25,N
173.6,8.27,95.85,74.25,34.8,10.57,3.39,11.9,48.53,9.15,N
183.73,7.55,95.98,67.88,66.78,7.99,2.57,10.11,48.61,8.8,P
171.79,9.12,88.63,74.2,35.16,10.51,2.35,9.49,38.76,7.42,N
177.95,7.76,90.85,74.88,55.86,9.84,3.38,10.72,45.19,10.68,P
180.01,7.47,92.06,64.17,52.68,6.61,1.5,5.77,31.65,5.85,P
163.71,7.44,88.75,67.09,50.94,7.9,2.56,7.43,40.2,7.63,P
179.59,8.91,94.6,78.29,32.73,10.74,3.04,12.18,48.69,8.51,N
174.43,9.73,92.86,68.07,55.73,5.89,2.64,7.39,32.93,7.86,P
187.41,9.86,98.02,86.7,37.86,12.7,5.14,20.7,72.22,15.69,N
163.37,8.04,87.64,69.43,63.45,4.82,2.87,7.86,37.39,9.52,P
182.37,10.73,97.4,75.22,62.61,7.1,3.54,10.01,41.79,11.32,P
156.69,6.73,83.24,77.29,65.41,6.29,2.67,10.12,34.38,13.42,P
174.64,7.77,86.6,69.96,63.21,5.03,1.55,4.78,32.71,4.64,P
174.84,8.23,90.69,79.35,63.68,7.81,2.93,11.06,42.56,14.55,N
165.49,10.31,82.86,82.94,52.8,7.97,3.64,13.27,52.34,12.72,P
186.94,10.28,99.06,89.79,50.7,9.53,5.91,18.28,63.8,19.94,N
164.5,9.08,81,80.19,65.85,7.55,3.69,12.51,37.49,12.46,N
174.94,5.46,93.18,87.58,55.12,8.61,4.3,12.39,61.25,16.88,N
164.87,5.35,86.86,81.76,62.04,6.73,3.97,10.5,42.74,13.82,P
169.54,5.64,89.35,86.79,48.99,9.78,4.98,13.77,59.4,17.95,N
173.96,7.83,87.13,87.46,55.93,9.28,5.64,16.05,65.62,20.04,N
171.35,9.2,88.39,88.21,55.28,9.08,3.99,10.5,60.37,14.63,N
163.97,5.81,85.38,83.4,62.76,7.5,4.2,12.23,48.91,14.56,N
165.43,6.75,83.96,86.1,55.66,9.8,4.48,14.95,75.04,15.25,N
173.21,8.33,84.95,82.16,58.61,8.93,3.96,13.82,59.35,17.4,N
171.31,8.41,86.81,81.31,64.73,9.81,3.65,12.62,58.82,13.97,N
166.96,6.53,85.25,78.99,60.08,12.34,4.91,18.51,86.87,16.19,N
181.75,8.21,94.72,92.56,28.69,16.32,4.26,16.52,75.19,11.55,N
174.04,7.75,90.96,84.5,55.63,13.61,4.02,18.61,83.38,13.75,N
168.36,7.76,87.73,76.44,58,11.64,2.95,12.91,58.92,9.44,N
172.41,7.16,92.58,73.97,75.34,10.19,3.73,12.97,64.79,13.38,N
167.55,7.47,87.02,69.63,65.55,9.76,2.02,7.86,47.9,3.53,N
175.63,9.63,92.68,81.05,36.88,22.19,4.98,23.97,100.12,11.43,N
176.4,7.56,97.95,69.57,76.52,11.02,3.05,12.81,65.56,5.08,P
182.88,6.93,94.19,78.05,37.25,19.36,3.73,17.52,78.06,6.32,N
180.92,6.78,93.95,70.61,62.42,20.55,3.53,19.35,81.84,7.9,N
170,5.53,92.29,60.95,70.8,10.82,2.24,7.55,52.42,2.97,P
180.78,10.51,93.48,67.74,60.77,20.05,3.03,11.19,85.3,3.85,N
179.58,8.32,97.41,68.5,48.97,18.6,2.81,10.94,72.77,4.16,N
184.82,9.18,96.98,54.84,76.25,11.9,2,6.69,56.24,2.36,N
189.37,8.79,106.6,60.58,58.66,16.83,2.27,9.43,68.28,2.3,N
200.23,8.31,112.41,62.14,51.86,14.66,2.9,12.78,64.06,3.07,N
212.24,12.39,118.59,51.26,51.46,13.6,3.31,7.84,71.53,2,N
203.75,12.42,107.9,72.55,58.51,20.29,3.44,17.34,83.08,5.61,N
202.2,14.08,111.82,64.42,70.89,14.13,3.13,14.38,75.71,8.05,N
188.99,13.93,102.78,78.25,41.46,22.39,4.42,23.2,82.09,5.7,N
190.97,12.15,100.63,59.17,72.19,11.15,3.6,16.54,66.85,6.32,N
206.97,12.63,106.54,80.89,42.12,19.96,4.86,24.01,84.11,10.17,N
186.71,11.03,105.39,58.63,65.19,8.41,1.79,7.51,47.3,3.24,P
192.81,10.84,104.99,62.5,39.24,7.36,2.95,7.94,47.77,4.86,P
196.23,9.26,102.72,67.52,36,11.45,3.64,11.79,71.76,4.64,N
185.62,11.78,104.67,63.56,62.52,6.63,2.79,8.11,56.8,5.05,P
202.41,16.05,103.3,74.87,49.33,10.11,3.77,13.22,73.64,7.79,N
182.37,12.12,98.46,64.98,76.15,6.23,3.25,11.36,53.83,8.63,P
188.66,10.05,100.78,82.7,36.28,11.15,4.78,15.95,66.88,11.03,N
174.09,8.38,94.43,72.63,55.55,7.92,3.37,11.16,60.33,10.83,P
166.78,6.94,92.16,65.36,64.93,5.38,2.24,7.83,42.39,5.91,P
167.18,8.32,92.13,63.33,53.69,5.63,2,7.32,42.35,5.09,P
175.92,6.66,95.04,66.1,65.67,5.72,2.78,8.96,40.36,6.87,P
161.66,7.78,86.88,64.85,67.61,6.41,2.38,8.22,45.93,5.12,P
175.37,6.94,95.29,76.37,62.44,6.27,3.27,10.72,51.42,10.16,P
165.55,6.75,85.39,75.27,49.66,6.35,2.82,10.58,49.76,8.72,P
169.82,6.56,92.63,65.15,71.13,3.4,2.23,6.7,35.06,4.2,P
179.47,6.12,88.72,69.62,63.79,4.7,1.95,9.06,46.43,8.26,P
170.36,6.81,87.09,72.81,68.47,5.09,2.57,10.39,44.46,8.59,P
170.16,6.45,83.92,85.57,55.88,7.92,4.94,20.36,70.03,18.67,N
167.49,6.81,89.01,78.58,65.65,5.1,3.45,11.32,38,11.29,P
163.16,7.1,78.14,77.32,65.21,4.73,2.83,9.61,40.57,10.67,P
175.13,7.46,92.84,87.27,50.89,7.96,4.75,18.09,61.38,16.52,N
171.64,7.37,88.65,86.29,57.09,6.28,3.49,14.36,52.93,11.74,P
163.77,6.54,86.66,83.55,64.87,5.46,3.84,11.35,38.63,13.85,P
166.97,7.87,82.04,88.57,56.99,6.88,4.08,14.7,50.95,13.23,P
192.59,9.19,105.15,95.34,46.56,8.86,6.49,18.2,60.06,16.8,P
175.17,7.8,94.19,88.18,59.09,6.37,4.05,11.12,48.86,11.17,P
160.42,6.94,83.99,82.71,66.41,4.64,3.12,7.87,36.23,11.6,P
172.59,6.14,88.22,89.8,49.83,9.06,4.83,13.42,63.33,15.61,P
166.43,7.38,85.59,81.63,63.94,4.92,3.35,9.16,49.68,11.08,P
184.67,8.03,99.21,98.95,43.45,12.41,6.53,21.15,79.61,19.37,N
168.71,8.77,87.77,82.58,66.54,5.63,3.1,9.58,41.3,8.72,P
170.79,4.57,90.39,79.74,56.69,9.57,3.53,12.77,60.38,10.67,N
165.98,8.89,82.25,77.31,46.55,9.21,2.34,9.86,44.48,5.2,P
187.1,9.25,102.92,99.88,29.94,17.13,6.57,23.1,88.8,16.91,N
164.1,8.19,86.84,69.19,64.1,7.22,4.07,11.63,40.95,6.36,N
183.75,9.11,97.22,76.29,50.73,13.53,3.62,14.5,72.73,7.61,N
174.68,9.03,94.97,64.28,44.22,8.43,1.92,6.9,43.4,2.77,N
189.7,9.18,104.86,78.61,51.21,16.81,6.04,22.79,78.48,8.39,N
163.23,6.87,80.53,65.87,65.85,9.9,3.92,15.76,55.68,4.47,N
174.79,7.3,102.47,68.18,45.62,14.13,3.11,10,59.88,3.03,N
177.87,6.11,97.8,65.98,74.52,13.42,3.77,18.71,72.49,5.71,N
180.78,6.83,95.28,63.95,44.66,9.76,3.05,7.95,47.26,1.59,N
187.53,9.82,105.64,57.65,49.77,11.27,2.84,9.12,50.55,2.29,N
187.38,9.13,106.44,64.27,43.5,15.63,4.19,12.37,67.52,2.12,N
199.58,12.09,110.65,55.18,93.01,7.79,1.93,5.64,39.03,1.46,P
212.96,13.59,114.41,63.52,45.42,12.95,3.36,9.08,59.88,2.64,N
206.97,13.19,115.98,63.95,55.25,16.95,5.92,15.92,77.36,3.13,N
205,15.44,112.72,69.91,54.59,19.75,5.49,21.9,86.99,3.07,N
208.26,13.57,115.99,58.9,76.87,10.55,4.97,15.58,63.41,3.92,N
193.27,16.41,104.14,65.25,44.82,13.33,2.53,8.94,61.86,3.43,N
196.53,11.27,109.3,62.79,54.94,11.42,3.98,12.4,63.13,3.35,N
200.71,13.52,111.47,71.43,47.33,13.62,3.15,14.74,69.46,5.78,N
193.93,14.86,102.67,68.72,69.03,12.02,5.44,19.2,72.74,7.8,N
182.12,9.24,101.34,66.96,69.19,10.46,4.92,14.04,71.28,8.76,N
176.6,9.18,94.97,75.68,61.63,7.81,4.9,15.5,61.84,8.17,P
167.46,7.93,90.48,68.57,77.31,8.25,4.82,15.19,57.08,9.73,N
177.2,9.75,93.7,68.62,76.62,6.46,4.48,13.1,45.89,11.59,N
161.35,8.47,81.87,69.61,61.01,7.51,3.89,10.54,51.25,7.83,P
166.63,7.62,91.12,71.89,50.68,7.85,3.75,11.38,55.7,8.35,P
164.15,7.57,90.55,73.66,63.97,8.41,4.02,14.24,64.06,8.47,P
163.9,5.49,89.62,70.67,44.01,6.53,2.78,7.59,45.08,5.45,P
172.55,7.15,91.63,69.9,56.93,7.49,2.64,10.6,49.33,8.44,P
171.58,7.65,89.22,80.23,53.68,7.42,4.97,14.11,57.4,12.14,P
163.03,8.36,84.81,67.16,65.61,3.89,2.46,5.95,38.91,5.67,P
177.76,7.52,95,81.71,58.17,7.99,4.57,13.24,59.88,14.4,P
159.69,7.35,83.77,66.2,61.68,3.68,1.97,5.57,33.71,5.23,P
186.44,6.39,98.26,80.79,57.93,6.98,2.49,9.15,51.39,8.98,P
161.11,5.86,82.87,84.12,62.31,5.23,3.49,11.03,43.1,15.48,P
166.05,7.49,85.51,75.52,69.24,5.53,2.53,8.18,46.2,7.58,P
159.73,5.23,84.67,81.55,61.7,5.22,3.32,9.95,44.08,12.35,P
165.15,7.32,84.45,75.88,64.71,4.69,2.26,6.89,46.01,5.77,P
174.23,6.46,93.96,82.45,64.22,5.42,4.78,10.88,52.66,15.01,P
167.55,7.89,82.47,84.86,55.85,6.44,5.33,11.46,62.06,13.24,P
168.97,7.24,89.18,84.93,63.05,5.47,3.46,9.54,40.58,13.72,P
172.84,9.08,87.33,79.73,57.14,4.92,2.85,6.94,40.17,8.52,P
182.28,6.49,92.67,97.2,37.78,10.07,5.08,18.95,68.88,17.8,N
179.8,10.2,93.83,85.97,56.74,5.57,3.65,10.95,45.65,11.15,P
162.85,6.72,86.65,82,67.52,4.74,2.86,9.38,39.35,9.83,P
163.88,5.89,89.35,81.95,55.27,6.59,2.75,10.62,48.63,10.11,P
157.88,5.28,77.97,83.56,60.24,6.22,3.05,11.05,47.56,9.81,P
164.12,8.17,86.06,86.14,62.28,6.53,3.15,11.35,48.4,10.94,P
161.41,5.71,83.34,77.63,68.02,4.4,2.44,6.09,38.19,5.32,P
164.72,5.57,87.35,77.19,60.77,7.67,3.87,12.43,63.1,11.3,N
166.39,6.03,90.58,82.16,53.1,8.39,2.59,12.67,49.32,9.47,N
160.66,4.56,84.72,78.57,65.92,7.42,3.72,10.57,58.27,8.34,P
160.69,7.56,88.32,78.92,52.9,8.1,2.67,10.27,48.86,5.39,P
157.7,4.82,82.62,74.47,59.72,9.12,1.98,9.18,53.6,3.71,N
172.85,8.11,92.52,71.01,69.58,10.04,4.3,11.61,54.02,7.06,N
164.79,6.77,86.73,72.2,51.77,10.56,2.95,9.81,56.86,4.42,N
181.14,8.75,99.54,72.59,52.47,14.36,3.96,16.99,66.42,7.25,N
176.93,6.72,95.5,65.8,61.4,9.08,2.82,8.29,49.52,2.13,N
171.27,7.97,92.34,64.16,73.12,10.55,2.66,7.88,43.11,2.96,N
183.24,8.07,97.49,73.18,39.77,13.84,3.22,14.46,62.87,4.24,N
182.28,9.14,97.9,74.71,48.32,16.64,3.6,16.98,68.35,3.98,N
178.82,6.12,97.54,50.91,59.89,8.04,1.92,7.13,36.16,1.85,N
187.84,10.72,103.78,66.46,33.42,12.8,3.05,11.46,57.54,2.12,N
201.02,11.74,110.17,75.48,57.07,17.6,3.32,16.64,76.33,3.94,N
197.38,13.76,116.04,67.78,28.5,10.18,3.42,7.89,51.98,2.68,N
222.56,17.78,132.04,56.68,50.04,11.13,2.24,7.41,48.34,2.73,N
229.32,26.24,126.95,70.08,68.59,14.21,3.51,14.94,62.29,3.28,N
231.73,30.43,121.11,58.58,57.42,8.14,1.93,6.27,41.72,2.46,N
216.67,22.95,119.3,67.7,44.68,11.7,2.97,10.83,53.87,2.81,N
213.9,22.99,118.2,63.88,61.23,10.32,2.02,8.75,44.98,2.36,N
