@relation space_ga

@attribute ln(VOTES/POP) numeric
@attribute POP numeric
@attribute EDUCATION numeric
@attribute HOUSES numeric
@attribute INCOME numeric
@attribute XCOORD numeric
@attribute binaryClass {P,N}

@data
-0.661559,9.97292,9.246286,9.004054,12.134915,-86641472,P
-0.650859,10.903347,10.221214,9.965758,13.056638,-87754736,P
-0.617114,9.722205,8.753529,8.707648,11.630628,-85388993,P
-0.63907,9.273691,8.183118,8.277412,11.243712,-87126855,P
-0.700274,10.151519,9.207737,9.240676,12.1551,-86566214,P
-0.226367,8.863474,7.78904,7.826842,10.644734,-85717786,P
-0.573181,9.605351,8.644707,8.578288,11.508897,-86682302,P
-0.879874,11.358316,10.520644,10.222741,13.415306,-85825619,P
-0.832006,10.216216,9.258368,9.220489,12.21927,-85389802,P
-0.732962,9.502935,8.487764,8.530109,11.532522,-85605750,P
-0.623139,9.97124,9.018453,9.058121,11.968729,-86718688,P
-0.516584,9.308374,8.321665,8.406038,11.269822,-88265781,P
-0.535411,9.809946,8.915969,8.858084,11.846866,-87835981,P
-0.506081,9.162515,8.230044,8.1898,11.04685,-85859858,P
-0.669448,9.087042,7.954021,8.142936,11.053094,-85517385,P
-0.701915,10.204851,9.460321,9.190036,12.299563,-85989130,P
-0.659251,10.563388,9.798127,9.596962,12.739846,-87796569,P
-0.56517,9.294406,8.252967,8.369389,11.17804,-86992999,P
-0.631408,8.976389,7.960673,8.034631,10.931033,-86239249,P
-0.680018,10.198431,9.224736,9.266437,12.160573,-86453162,P
-0.64011,9.207236,8.066835,8.198089,11.022278,-86311599,P
-0.675547,10.685195,9.74952,9.735424,12.723613,-86866896,P
-0.968525,10.407832,9.689923,9.11041,12.445377,-85612338,P
-0.670154,10.476414,9.644069,9.256365,12.434116,-87109517,P
-0.708255,10.543998,9.520175,9.616472,12.556958,-85798731,P
-0.687304,10.315697,9.579003,9.313438,12.42579,-86138157,P
-0.788586,10.185654,9.321971,9.168685,12.173069,-87162695,P
-0.665008,11.205231,10.430816,10.211891,13.352146,-86038250,P
-0.674263,9.497322,8.496582,8.534247,11.509801,-87735378,P
-0.636672,9.920541,8.954415,8.977273,11.948732,-87843648,P
-0.571827,9.744257,8.803424,8.798606,11.81638,-85837337,P
-0.446622,8.866864,7.748029,7.774015,10.569418,-87951231,P
-0.539415,9.235423,8.076205,8.181441,10.973031,-87625424,P
-0.590316,9.269458,8.284504,8.300777,11.220887,-85239835,P
-0.79521,10.848754,10.124068,9.808902,13.027628,-85304578,P
-0.918527,10.479736,9.556197,9.487972,12.543512,-86002129,P
-0.630333,13.096892,12.466481,11.96845,15.372938,-86896716,P
-0.625522,9.355566,8.344743,8.364508,11.337107,-88096415,P
-0.747805,10.960357,10.192943,9.951658,13.134432,-87647581,P
-0.830988,9.906882,8.876545,8.959954,11.884054,-87310217,P
-0.954159,10.951683,10.014537,9.67269,12.971736,-85355886,P
-0.862509,10.364324,9.487745,9.334415,12.455515,-86981426,P
-0.406403,8.987322,7.894691,7.915713,10.691331,-86642632,P
-0.76885,9.848398,8.931816,8.601534,11.594966,-85692573,P
-0.759418,11.842668,11.253559,10.709963,14.143814,-86548777,P
-0.537425,9.713174,8.799209,8.688285,11.684338,-87790375,P
-0.68205,9.963594,8.932873,9.00516,11.952032,-87886567,P
-0.851988,10.75212,9.882468,9.775881,12.785261,-86313058,P
-0.760491,12.430352,11.727004,11.312973,14.60716,-88198527,P
-0.489772,9.60272,8.737934,8.629807,11.619841,-87353102,P
-0.725125,11.830142,11.205585,10.670744,14.075035,-86203795,P
-0.762163,11.046515,10.351948,10.049664,13.254323,-86857298,P
-0.415433,9.198369,8.128585,8.045909,10.886932,-87293685,P
-0.573246,9.582938,8.577347,8.576028,11.468054,-88084083,P
-0.705433,9.914872,8.86517,8.748622,11.746487,-85938912,P
-0.685151,9.552155,8.49331,8.596559,11.380159,-85456433,P
-0.884441,10.394886,9.348013,9.237372,12.340708,-85184114,P
-0.727592,10.24938,9.37594,9.346618,12.352111,-86318306,P
-0.673573,10.728365,10.064883,9.759155,13.032132,-86654667,P
-0.432462,9.31416,8.286773,8.181161,11.213279,-88193795,P
-0.878645,10.81368,9.89963,9.758924,12.815096,-86169488,P
-0.686694,10.20474,9.313979,9.18881,12.235078,-85797597,P
-0.900908,11.515382,10.697611,10.26615,13.569332,-87523765,P
-0.746666,10.782409,9.817494,9.839056,12.846025,-87295532,P
-0.500112,9.298717,8.335192,8.411833,11.251652,-88202751,P
-0.234945,9.125218,8.055475,8.052933,10.886913,-87308887,P
