@relation strikes

@attribute country_code numeric
@attribute year numeric
@attribute strike_volume numeric
@attribute unemployment numeric
@attribute inflation numeric
@attribute parliamentary_representation numeric
@attribute binaryClass {P,N}

@data
1,1951,296,1.3,19.8,43,P
1,1952,397,2.2,17.2,43,P
1,1953,360,2.5,4.3,43,P
1,1954,300,1.7,0.7,47,P
1,1955,326,1.4,2,38.5,P
1,1956,352,1.8,6.3,38.5,P
1,1957,195,2.3,2.5,38.5,P
1,1958,133,2.7,1.3,36.9,P
1,1959,109,2.6,1.8,36.9,P
1,1960,208,2.5,3.8,36.9,P
1,1961,173,2.5,2.5,49.2,P
1,1962,142,2.6,-0.3,49.2,P
1,1963,158,2.1,0.5,41,P
1,1964,243,1.6,2.4,41,P
1,1965,211,1.5,4,41,P
1,1966,183,1.7,3,33.1,P
1,1967,168,1.9,3.2,33.1,P
1,1968,249,1.8,2.7,33.1,P
1,1969,439,1.8,2.9,47.2,P
1,1970,515,1.6,3.9,47.2,P
1,1971,645,1.9,6.1,47.2,P
1,1972,416,2.6,5.9,53.6,P
1,1973,527,2.3,9.5,53.6,P
1,1974,1252,2.6,15.1,52,P
1,1975,702,4.8,15.1,28.3,P
1,1976,760,4.7,13.5,28.3,P
1,1977,328,5.6,12.3,30.7,P
1,1978,421,6.4,7.9,30.7,P
1,1979,778,6.1,9.1,30.7,P
1,1980,633,6,10.1,40.8,P
1,1981,779,5.7,9.7,40.8,P
1,1982,370,7,11.2,40.8,P
1,1983,313,9.8,10.1,60,P
1,1984,241,8.9,4,55.4,P
1,1985,226,8.2,6.7,55.4,P
2,1951,43,3.5,27.5,43.6,N
2,1952,39,4.7,13.6,43.6,N
2,1953,20,5.8,-1.6,46.7,N
2,1954,26,4.9,4,46.7,N
2,1955,28,3.6,0,46.7,N
2,1956,72,3.5,3.9,46.7,N
2,1957,21,3.3,2.8,46.7,N
2,1958,22,3.6,2,46.7,N
2,1959,23,3.3,1.1,47.3,N
2,1960,30,2.5,2,47.3,N
2,1961,49,2,3.5,47.3,N
2,1962,277,1.9,4.4,46.1,N
2,1963,15,2.1,2.7,46.1,N
2,1964,15,1.9,3.9,46.1,N
2,1965,64,1.9,4.9,46.1,N
2,1966,30,1.8,2.2,47.9,N
2,1967,7,1.8,4,47.9,N
2,1968,3,2,2.8,47.9,N
2,1969,8,1.8,3.1,47.9,N
2,1970,11,1.5,4.4,49.1,N
2,1971,2,1.2,4.7,49.1,N
2,1972,6,1.1,6.4,50.8,N
2,1973,61,1,7.5,50.8,N
2,1974,3,1.1,9.5,50.8,N
2,1975,2,1.7,8.5,50.8,N
