@relation quake

@attribute focal_depth numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute binaryClass {P,N}

@data
33,-52.26,28.3,N
36,45.53,150.93,P
57,41.85,142.78,P
67,29.19,141.15,N
30,-21.66,169.81,N
0,23.09,120.58,N
139,-20.7,169.92,N
60,22.33,93.58,N
50,-13.64,165.96,N
119,-16.31,-71.66,N
197,36.48,70.95,N
13,55.72,-155.95,N
26,55.75,-155.88,P
58,-5.14,151.77,N
33,-44.6,37.34,N
0,-44.2,167.96,P
27,36.23,-7.61,N
50,36.95,95.5,P
46,14.42,56.36,P
373,-6.44,127.96,P
44,59.79,-149.3,N
33,57.2,-153,P
4,58.26,-151.25,N
17,58.83,-149.29,N
23,56.42,-152.01,N
26,57.17,-152.45,N
32,60.05,-148.39,P
160,0.4,122.11,N
25,56.45,-153.94,N
12,60.36,-146.61,N
10,60.51,-146.7,N
35,59.79,-148.67,N
22,56.65,-152.82,P
51,3.91,96.56,P
41,61.62,-147.39,P
36,60.11,-146.71,P
14,56.85,-152.69,P
24,56.3,-154.4,P
2,60.25,-146.71,P
184,0.02,123.18,P
22,56.6,-152.21,P
6,61.51,-147.2,P
33,-5.42,133.99,N
99,-5.07,144.2,N
23,45.35,150.5,P
49,-3.88,35.06,N
22,40.39,139.05,N
16,40.55,139.21,P
49,-2.73,139.33,P
114,-56.45,-27.7,P
101,-56.09,-27.55,P
54,-56.17,-27.66,N
42,43.43,147.05,N
12,38.4,139.26,N
76,43.16,146.17,N
7,-1.76,149.75,P
15,-0.5,122.61,P
26,11.7,144.57,N
96,18.31,-100.5,N
189,-5.54,129.79,N
127,-15.56,167.62,N
20,47.09,153.77,P
7,46.96,153.8,P
4,47.09,153.72,P
4,-27.82,-71.1,N
22,14.17,96.12,P
7,-41.13,-74.99,N
392,-5.48,154.25,P
32,-26.37,-71.78,N
34,78.15,126.65,N
107,-4.42,144.08,N
33,-48.95,164.46,N
89,8.9,93.03,N
50,29.96,80.46,P
41,-10.42,162.42,P
34,40.3,28.23,P
14,-31.4,-110.84,P
585,-7.17,123.86,P
37,28.04,93.75,P
43,19.8,-56.11,N
2,-45.6,96.19,P
77,3.11,128.06,P
33,-31.78,57.32,P
60,-5.75,150.74,N
31,-20.46,-173.89,P
3,-6,150.75,P
607,-4.34,122.14,P
578,-27.46,-63.23,P
25,40.49,139.05,P
33,-20.45,-174.04,P
32,-13.49,166.54,P
23,27.4,87.84,P
0,49.88,78.96,P
94,-56.46,-27.05,P
6,-2.4,125.98,N
23,-2.64,126.04,P
33,-51.7,139.8,P
36,51.29,178.55,N
40,51.39,179.59,N
30,52.74,172.05,P
40,53.05,170.83,P
16,52.37,174.33,P
43,53.14,-161.85,N
32,52.05,175.6,P
33,53.26,-161.74,N
45,51.34,173.44,P
17,28.62,142.42,P
28,52.73,171.99,P
91,2.97,125.91,P
36,-25.67,-70.63,N
41,-5.43,151.97,P
33,-5.36,151.86,N
14,53.02,171.35,P
205,36.42,70.73,N
36,40.75,142.96,P
37,-1.47,126.5,P
58,-31.81,-71.26,N
22,55.2,162,P
68,-32.42,-71.1,N
41,40.73,142.85,N
20,50.32,177.93,N
45,38.38,22.26,N
39,35.06,24.31,P
12,-42.66,174.02,P
5,64.69,-160.23,P
51,54.25,-162.51,P
29,21,120.68,P
116,-7.02,129.61,P
60,47.41,-122.29,N
88,-55.99,-27.62,P
136,-6.2,130.33,P
80,22.41,121.26,N
3,-14.6,167.41,P
31,52.17,175.17,P
98,-56.24,-27.9,P
19,-7.53,128.6,P
27,15.93,-46.69,P
58,44.45,148.84,N
58,7.21,123.53,P
33,-54.59,5.4,P
40,53.03,-167.55,N
18,38.37,22.4,P
18,51.11,-171.3,N
33,-55.9,157.7,N
50,-7.31,-81.27,P
59,-5.21,151.65,P
14,-15.47,166.91,P
31,-15.75,167.12,N
26,-15.86,167.36,P
38,-5.25,152.13,P
36,-0.47,-19.93,N
328,-5.74,128.63,N
79,-18.84,-68.75,P
64,-22.91,-176.05,P
29,16.33,-95.8,N
30,58.29,-152.5,N
22,6.51,-84.44,P
55,-5.33,153.08,N
30,-6.37,151.66,P
62,-6.46,70.76,N
178,7.13,126.58,P
161,-1.4,-77.7,P
41,36.35,141.38,N
195,28.96,128.23,N
45,36.44,141.37,P
33,-54.74,-38.3,P
5,50.02,178.28,N
52,49.45,156.58,P
