@relation disclosure-X_TAMPERED

@attribute Age numeric
@attribute Civil numeric
@attribute Can/US numeric
@attribute binaryClass {P,N}

@data
23.532389,29.42811,4.36037,P
59.626422,23.836741,5.859656,N
45.682512,8.227006,9.292625,P
37.698205,14.36713,8.06957,N
33.994757,17.807684,14.42789,P
26.882009,13.043289,18.688364,N
53.842859,9.138462,4.747932,N
42.442568,19.264733,12.29712,P
31.906834,11.764081,16.135605,P
81.215532,12.416312,5.839766,N
53.77399,20.887984,6.168898,N
35.940005,1.732548,6.727001,N
42.707532,12.874006,8.846593,N
9.079582,20.946008,10.552738,N
50.955519,28.922443,7.621261,P
45.267637,18.176793,6.731224,N
48.605993,30.570037,4.385733,N
52.233819,25.814605,3.246501,P
62.206974,12.674118,12.13834,P
49.982072,11.363703,6.869758,N
75.590107,26.513122,6.500797,N
52.493193,19.091138,13.184026,N
28.374695,26.790837,15.545151,N
55.516388,20.922633,8.613632,P
65.154747,22.582827,10.578372,N
26.304376,14.686453,9.107645,N
70.715498,18.334349,3.948309,N
42.24049,18.140507,12.498873,N
53.560822,21.242344,8.697504,N
43.248115,16.268829,8.117798,N
56.432621,20.599094,18.529186,P
41.141973,27.840025,11.816953,N
38.927568,28.103649,0.498865,N
43.060564,15.859981,13.330741,N
40.779694,25.559825,8.430193,P
63.172696,18.308998,10.690004,P
54.720039,24.107274,7.333687,N
58.172396,21.49765,5.377434,N
27.38778,16.61804,6.336821,N
51.778954,17.730399,10.531135,N
31.93691,14.526499,9.110852,P
32.694012,29.266048,10.100635,P
37.785012,16.313605,14.054034,P
42.512147,16.776678,4.495178,N
44.175977,18.845724,8.451563,N
43.08511,19.112413,4.070279,N
38.052534,26.016072,10.042079,N
18.76836,30.890604,7.838419,N
42.69398,24.254582,12.203349,P
63.39901,15.951617,4.959822,P
47.73758,21.84078,6.276407,P
63.3375,16.68712,15.181407,P
64.62566,8.653961,12.348222,N
61.12597,10.937095,9.867441,N
28.93022,19.352744,5.639552,P
35.02604,8.81834,1.973732,N
33.26865,-0.617459,6.457413,P
27.89846,16.328401,11.110817,P
35.13197,21.067151,9.051805,N
37.88261,19.20572,9.221414,N
20.58881,26.395693,9.164312,N
33.59109,4.624334,8.078751,P
64.67773,29.22852,4.910587,N
31.57348,19.716716,10.629851,P
31.64919,22.161503,11.010811,P
58.56576,18.950223,10.5104,P
30.88615,10.997022,13.125554,P
23.61735,17.629785,5.032891,P
69.56984,23.347131,8.557324,N
37.14245,21.813314,7.858374,N
26.91929,9.045653,10.847806,N
60.064,16.530839,12.174473,P
52.95456,14.412254,2.110831,P
50.55268,24.316393,8.698874,N
34.29229,21.790887,5.57018,P
46.32972,6.521044,15.773852,P
49.42401,14.540583,15.942546,N
40.99183,16.255379,5.264684,N
21.46442,30.52722,6.778565,N
41.86589,23.320483,19.046629,P
