@relation fri_c3_1000_50

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute oz26 numeric
@attribute oz27 numeric
@attribute oz28 numeric
@attribute oz29 numeric
@attribute oz30 numeric
@attribute oz31 numeric
@attribute oz32 numeric
@attribute oz33 numeric
@attribute oz34 numeric
@attribute oz35 numeric
@attribute oz36 numeric
@attribute oz37 numeric
@attribute oz38 numeric
@attribute oz39 numeric
@attribute oz40 numeric
@attribute oz41 numeric
@attribute oz42 numeric
@attribute oz43 numeric
@attribute oz44 numeric
@attribute oz45 numeric
@attribute oz46 numeric
@attribute oz47 numeric
@attribute oz48 numeric
@attribute oz49 numeric
@attribute oz50 numeric
@attribute binaryClass {P,N}

@data
0.376835,0.133685,-0.055404,0.607901,-0.069552,0.459332,0.840837,0.19362,-0.105452,0.187261,0.645274,-0.955805,-0.301433,-0.308807,-0.722353,-0.902948,0.524805,-0.771868,-0.004338,1.161165,0.104953,-0.712805,0.477722,0.043764,0.637156,-0.085703,0.314665,-0.029154,1.057166,1.591553,0.363711,1.23636,-1.680688,-1.632798,-0.195313,0.557221,1.665546,-0.976338,1.721797,1.364584,-0.684588,-1.106412,-0.49453,-0.234858,-1.557068,-0.596893,0.213527,0.965074,1.499982,-1.497474,N
-0.729451,-1.093983,0.031246,-0.333759,-0.25826,1.050313,-0.885804,1.16676,1.661929,-1.164441,-1.634139,-1.627205,-1.666035,-0.0314,-1.474504,-0.590448,-1.082491,1.04153,1.465344,-1.544434,1.490056,0.136662,0.151809,1.714242,-1.722356,0.805166,-1.035112,-0.721345,-1.080834,0.00492,-1.416386,-0.89457,0.42033,0.931393,1.676604,-0.71213,0.841384,-0.306998,0.08237,1.242071,-1.604283,0.337305,0.900439,0.164647,0.985287,-0.71274,-1.270805,-1.192657,0.554964,0.593619,N
-1.108553,-0.805481,0.618491,1.560611,-0.205274,1.746744,-0.777771,1.460312,-0.740815,-0.657931,-1.021756,1.191203,0.846672,0.374349,-1.694316,-0.458581,-0.57991,1.547374,-1.158378,1.454546,-1.285969,1.678054,-1.512063,1.459983,-0.041008,1.620172,0.4843,0.399343,-1.093234,-1.724254,1.484474,-1.703337,-0.240243,0.169339,-0.260435,1.669512,-1.442138,-1.220022,0.876777,1.277614,1.218682,-0.565837,1.339789,-1.378016,-0.828538,-0.0306,-0.326412,-1.727483,-1.6192,0.420253,N
1.159293,1.30072,0.67471,-0.256293,0.578002,1.566564,-0.700094,0.414148,1.34997,0.677483,-0.968714,0.57279,0.285895,-0.493306,-0.370073,1.575749,0.324045,-0.445288,0.272548,1.669673,-0.278149,0.489798,-1.578748,1.641636,1.238427,0.438235,0.09985,0.101944,0.855358,1.035171,-0.206455,1.130582,-1.268884,-0.118986,1.569952,-1.667174,0.349845,1.299129,1.544916,-0.381747,0.326453,0.289238,1.197114,-0.136071,-0.679321,-0.37383,1.572013,-0.240751,-0.357029,-1.354602,P
-0.288706,-0.513631,-0.035148,0.773686,-0.125578,-0.528067,-1.558986,1.463047,-1.522503,-1.434501,0.707786,0.33896,-1.066762,0.410321,1.630072,1.650636,-1.555749,-1.654236,-1.104566,0.825522,-0.478252,0.084527,-0.481522,1.713319,-0.139331,-1.20547,0.284746,0.24146,0.226435,0.124969,-0.770278,-1.702613,-1.087173,-1.509062,-1.503151,1.651547,-1.27644,-1.357452,-1.603357,-0.563646,0.912657,0.806613,1.05925,-0.491596,1.229835,-0.245333,-1.185018,-0.884012,1.436175,-0.444012,N
0.229427,0.154268,-0.652444,-0.495537,-0.430281,-0.131417,-1.13073,-0.319937,-1.086613,1.119276,-0.506489,0.2279,0.970955,1.475353,1.012947,-1.359538,0.460202,-1.359293,0.433806,-0.793741,0.748545,0.980033,-0.631099,1.465187,-0.220126,-1.596233,-0.430193,-1.38826,0.683093,-0.066556,0.618142,1.469738,1.052981,-0.22041,-0.646599,-0.246039,-0.68694,-0.436889,-1.765115,1.53554,-1.26341,-1.253559,0.534904,-1.244975,-1.243253,1.742418,-0.283433,0.687719,0.681168,0.376506,P
0.143697,0.049395,0.686973,1.448792,0.464063,0.406651,0.189383,-1.725213,0.239079,0.643159,-0.720459,-1.62032,-1.730972,0.824448,-0.303147,-1.058624,-0.559332,-1.325596,-1.053191,1.516924,0.838615,-1.170223,-1.176822,-1.72152,1.015398,1.180237,-0.874449,1.355152,1.545434,0.116586,-0.791548,1.703215,-0.960116,1.63177,1.474457,-0.77433,-0.981295,1.395295,0.026678,-0.172467,1.487535,0.533166,0.780424,-0.539768,-0.701333,-0.70805,-0.55939,0.717021,-0.838356,0.069908,N
0.357514,0.45232,-0.904751,-1.154499,-0.791224,1.432289,-0.671333,-1.478127,-1.103676,-1.738468,-1.022875,0.440156,-1.45362,-1.654478,1.680651,1.366694,-1.744924,-0.469907,1.007998,-0.623232,-0.930818,-0.599738,0.432077,1.638826,1.300112,1.29736,1.292635,1.400879,0.291773,-1.562919,0.374117,0.530189,-1.491218,-0.640552,0.895484,-0.408912,0.528621,-1.170992,0.33862,0.655041,1.512348,-0.542761,0.167535,0.09139,0.189071,0.687214,-0.773484,0.842571,-1.625592,-0.599631,P
0.299571,0.123831,0.71339,0.533973,0.505674,0.661206,-1.469252,0.645482,0.829908,1.488942,-1.261778,-1.721625,0.717666,1.343722,1.72645,0.443945,0.216879,-1.195561,-0.029191,-0.266681,0.829151,1.09431,-0.509503,-0.0012,-0.591282,1.702182,0.518798,0.853896,0.500768,1.211075,-0.455614,0.461318,1.598639,-1.705724,-1.15182,-1.601663,0.740441,0.315299,0.670854,0.400846,0.036935,0.600068,1.685292,1.713906,0.427078,1.210769,-0.929324,-0.968415,-0.991999,0.209915,P
-0.056871,0.831479,-1.104975,-1.390506,-0.852775,-0.260517,-0.932611,0.33527,0.148254,0.28591,-1.334448,1.148994,0.717989,1.199433,-1.095897,-0.275722,0.53667,0.121402,-0.458424,-1.221767,0.445168,0.147468,-1.524719,1.166551,1.03021,-0.413374,-1.64655,-0.730608,-0.383092,-1.570317,0.721029,0.026089,-0.826528,1.42822,-0.148645,1.10342,0.559712,-0.37705,1.348282,1.067719,-1.631967,-1.653669,0.862362,0.923654,1.312668,-1.029977,-0.645891,0.989273,0.450377,-1.701424,P
