@relation disclosure-X_NOISE

@attribute Age numeric
@attribute Civil numeric
@attribute Can/US numeric
@attribute binaryClass {P,N}

@data
23.349661,29.86088,4.19716,P
62.428811,22.772825,5.691332,N
48.272638,8.063227,9.5125,P
39.918946,14.799746,8.426956,N
33.232595,17.817427,14.248728,P
27.101284,13.404751,18.068187,N
52.491328,9.746183,5.080532,N
43.865826,18.706031,12.300193,P
31.795246,11.660241,15.498379,P
79.052775,12.263069,6.083357,N
54.194508,22.608776,6.486875,N
35.066522,2.53859,7.084479,N
40.434952,13.616403,9.319561,N
9.460303,21.010407,10.203904,N
49.159898,28.952001,7.896953,P
46.914543,17.258022,6.543242,N
45.767922,30.390819,4.27314,N
54.349277,25.815851,3.087667,P
64.314428,12.39822,12.239726,P
49.188499,11.024706,6.838271,N
76.652939,26.103957,6.352969,N
51.866679,19.819029,12.800585,N
29.262586,26.090016,15.386624,N
53.679798,20.002226,8.848325,P
68.879577,21.299838,10.57195,N
26.989108,14.012562,9.467213,N
72.079947,19.194236,4.163027,N
45.380312,17.806181,12.384688,N
53.83031,19.772365,8.555143,N
44.908491,16.486319,7.911769,N
56.521128,21.262055,17.702026,P
41.17038,28.26387,11.419559,N
37.96538,27.829664,0.264236,N
43.498354,15.322091,13.6182,N
43.343977,24.298524,8.253998,P
63.631147,18.167378,10.345877,P
52.564104,24.339034,7.215017,N
57.175338,20.863261,5.046247,N
29.521415,16.856372,6.431306,N
52.4953,17.325386,10.868459,N
31.857979,14.762502,8.897336,P
33.03287,28.333817,9.711018,P
38.245012,15.61043,14.286451,P
43.813534,16.47202,4.36303,N
43.142773,19.226898,8.876772,N
43.226535,19.188189,4.231545,N
38.858023,26.459855,10.16419,N
20.45723,30.63435,7.669443,N
42.15814,23.932471,12.115344,P
64.95006,14.892567,5.134576,P
46.87503,22.693788,6.884193,P
64.11579,15.984411,15.23861,N
63.62045,8.954399,12.416755,N
58.25248,10.963543,9.450022,N
29.61109,19.054076,5.318568,P
35.65635,8.575981,1.937343,N
34.02292,-0.83972,6.249028,P
28.17437,16.308784,11.336806,P
35.53192,20.241072,8.909814,N
38.53041,17.709451,9.430934,N
20.41723,26.322102,9.049957,N
33.77809,4.782958,7.864196,P
63.10095,29.157338,5.163299,N
32.61149,19.69438,10.572607,P
33.25269,21.352344,11.14138,P
59.17378,18.734254,10.947889,P
33.15636,11.386812,12.830182,N
22.99372,18.284004,5.020718,P
69.44475,23.565799,8.248992,P
34.46941,19.99901,7.756533,N
28.04734,9.644653,10.683043,N
60.69,16.370371,12.236151,P
53.38916,15.109621,2.107196,P
49.90884,23.861792,8.751306,N
37.82528,21.495394,5.591292,P
45.75806,6.595786,15.804572,P
49.30591,13.802382,16.353585,N
41.20675,15.319123,5.270854,N
22.85622,30.976788,7.054899,N
39.87962,22.875549,19.430787,P
53.3706,12.38571,11.611559,N
41.24611,16.846126,8.477768,N
29.33233,15.140352,9.333612,N
30.54214,13.89779,14.025725,N
44.02006,33.461639,17.710293,N
17.31954,11.170693,9.145336,N
47.55285,13.278143,11.438725,N
48.7886,21.843443,16.711769,N
50.94245,25.293528,4.832701,N
54.17788,-1.010836,13.357556,N
34.99632,17.475055,9.317477,P
53.995,12.819852,10.31,N
45.39257,28.392242,6.84285,N
41.65472,18.586462,12.707037,N
62.09379,11.98274,4.138981,N
30.31772,25.870682,6.959338,N
59.38179,23.05772,7.387254,N
27.40328,16.589789,4.807525,N
30.87474,7.389364,5.995377,N
33.45568,30.544974,8.199891,N
36.30911,10.627038,17.321439,P
49.80042,25.141294,11.046152,N
34.78109,28.42654,12.868815,N
41.47764,12.629618,4.582109,N
37.46378,21.426062,4.630819,N
35.45272,23.22239,11.823672,N
48.73234,19.152012,8.960538,N
51.56882,24.708822,4.580001,N
32.15726,26.485083,16.069536,P
40.15542,26.979126,0.358543,P
50.2621,28.434777,8.169322,P
42.07542,26.565359,22.386001,N
35.29961,25.244599,13.496626,P
59.67104,31.082516,14.182728,N
65.06014,20.531434,12.660972,N
32.68086,19.349057,11.986278,N
37.55882,22.658064,1.646716,P
30.45163,26.237333,12.791385,P
42.68879,11.464186,8.496722,P
38.5579,17.801005,13.622323,N
43.8542,16.036266,14.982478,N
50.82181,11.432358,8.346016,N
29.76762,7.852152,9.889413,N
50.07595,26.583226,20.843885,N
32.92387,22.44093,4.988265,P
64.06096,18.329469,12.903774,N
43.59016,14.96389,5.975627,P
32.5079,15.467685,11.183677,N
47.67324,19.652519,12.821923,P
31.30751,10.183966,9.578887,N
50.21119,30.970052,15.259984,P
41.96971,18.49364,10.759781,P
43.716,20.700359,13.318253,N
46.94613,16.833399,3.928225,P
56.7594,5.147698,16.110079,N
67.34487,17.077899,16.470756,P
31.95463,22.566072,11.863907,P
65.03271,22.587606,11.948601,N
53.13879,14.313088,13.993091,P
60.60854,18.384228,14.176825,N
39.12786,8.778894,9.23102,N
41.185329,35.984939,6.588823,P
32.885695,21.959379,3.146461,N
37.96557,17.130676,8.07152,N
34.49311,20.994615,8.465529,N
39.84407,21.264212,3.767289,N
51.906701,19.52854,6.566516,N
46.18509,23.298841,3.572362,N
31.576225,18.921663,3.22041,N
37.442262,7.96131,13.737032,N
40.447801,23.759452,11.5739,N
61.79211,17.873151,13.387459,P
32.064016,20.824752,8.502409,N
29.042278,19.354772,7.215939,P
35.407355,19.033953,6.541805,P
27.585465,16.69872,8.524365,N
32.433226,18.508968,4.657013,N
42.331942,15.759037,17.688718,P
35.416843,28.361106,3.773712,N
33.290613,20.231756,11.1627,P
42.959105,14.102997,13.285926,P
35.977219,12.777074,7.092305,N
40.120344,24.442206,9.501802,N
4.131889,6.40502,7.521407,N
41.499035,5.970095,10.770617,N
63.490633,16.783914,6.792729,N
56.170298,17.986676,15.134057,P
30.055284,27.107416,3.837058,N
53.397096,16.538715,7.051733,N
52.824172,12.041059,15.38267,P
34.531009,3.690353,2.940997,N
57.817455,19.322807,17.096173,N
58.693538,16.110332,4.921218,N
40.709688,18.605908,10.397561,P
22.69994,16.03649,5.809087,P
34.743114,32.100487,7.847688,P
37.213113,26.74344,14.2263,P
21.616019,17.82142,5.738056,N
39.707399,25.466297,7.074679,P
68.372127,6.340157,14.149149,N
60.663457,15.637621,4.30964,P
43.434582,17.148283,5.733139,N
50.105339,22.49615,7.739248,N
53.987186,31.314282,9.758278,P
35.707678,12.820443,6.496943,N
40.427217,25.662145,8.116369,P
41.332177,12.330619,9.982604,P
54.483711,17.445562,4.756357,P
22.266738,17.880568,5.528599,N
42.143168,21.682475,2.998114,N
51.601622,24.113002,7.9854,P
21.020907,14.618206,10.695856,P
28.678523,14.690853,19.226273,N
31.99181,19.250842,17.95209,P
55.272335,22.870961,10.230446,P
67.414833,14.683638,13.045073,P
51.209882,14.076289,5.260494,P
51.416336,27.476069,16.935491,N
36.384225,24.215937,3.010109,N
24.165523,6.479408,5.500489,P
25.243165,22.162632,8.137608,P
42.779402,25.312568,10.181995,N
45.839844,18.066638,2.909251,N
52.781639,12.403838,10.903831,N
45.460867,16.707282,13.240279,P
33.530826,9.550647,15.314081,N
33.09696,17.954737,12.803905,N
63.10084,10.474163,8.389332,N
59.303737,25.258884,12.590891,P
60.699025,26.718278,9.562104,N
50.949546,2.519744,10.39135,N
9.071568,10.715894,6.527925,N
63.754882,32.161269,2.852049,P
42.115772,16.413486,6.384388,P
53.243679,23.211033,1.168979,N
67.402009,18.339233,8.375809,P
63.297062,13.234343,9.89261,N
39.75041,33.114517,15.39258,P
43.34534,24.808736,13.509968,N
16.333833,17.126176,10.218113,N
40.627589,13.549044,14.020912,N
38.920293,20.475894,4.685779,N
52.500228,19.256359,4.255152,N
25.054636,19.037756,5.963825,P
28.095221,16.441541,13.133534,P
60.499642,23.444793,13.492113,N
44.572879,25.519508,7.660573,P
41.53169,19.0315,12.506888,N
38.859059,19.608731,5.29201,N
46.940614,13.55344,6.489085,P
54.442997,21.75833,12.610345,N
37.69452,26.299609,8.803627,P
56.777906,25.178485,6.622851,P
65.421347,22.570882,7.059284,N
49.091281,21.744278,11.976184,P
60.95953,10.193225,9.449069,N
64.56386,19.415032,14.623019,N
48.48886,18.550332,8.6009,N
56.86927,16.110662,12.261604,P
83.24577,21.96945,12.891811,P
39.81998,22.553813,10.325512,N
69.81628,14.423797,15.409117,N
38.2551,12.298291,8.410674,P
54.68819,20.340807,10.070238,N
67.94553,28.199692,13.508901,N
51.97142,25.619798,15.761697,N
35.4099,23.464172,3.99601,N
57.00483,25.938645,8.970456,N
57.79988,20.007709,9.662013,N
59.68097,9.628403,10.66207,N
38.29458,19.109503,13.136773,P
34.34852,13.853521,8.913867,N
57.92692,33.844637,13.235717,P
48.68646,20.794044,4.054643,N
26.50946,3.571208,9.23725,P
39.13156,4.747543,10.085788,N
55.5588,0.053284,11.496192,P
23.57445,14.824741,6.970828,N
74.05699,17.976963,12.986899,P
56.26217,18.435274,10.505827,P
41.09258,16.033802,8.424237,N
39.71279,12.945352,8.124688,P
57.80929,2.656619,12.615675,N
72.47462,19.10152,14.720264,P
56.71353,20.493826,9.583188,P
60.26954,25.383223,5.071846,N
30.54751,16.750048,14.016548,N
50.80702,26.518069,12.238707,N
36.30028,29.005662,8.042427,N
19.98992,13.640305,8.327803,P
55.30474,4.484798,-0.091832,P
57.19498,16.306016,10.12283,N
68.99758,15.053343,11.418593,P
66.19878,21.4283,5.248786,P
37.63269,22.224759,19.343873,N
51.66674,25.146385,8.604598,N
65.57105,14.26755,12.741195,P
37.44747,19.037933,8.99377,N
31.30254,25.594483,5.896575,N
25.60262,13.336417,14.822976,N
30.06625,18.706801,2.406753,P
48.08709,33.048293,11.974006,N
58.28719,17.353654,14.707724,N
15.89852,24.353015,10.440896,P
14.64695,19.814062,13.678317,P
24.93489,28.439258,9.24502,N
54.13577,21.356186,12.194712,N
41.30038,22.074968,6.004309,N
33.74432,24.232151,8.578381,N
36.2456,22.924853,15.725277,P
68.67294,22.876741,11.696261,P
44.8844,14.917873,9.554489,N
49.75192,18.14952,3.873123,N
75.14318,16.096472,-0.164451,P
61.68779,25.445306,12.973112,P
43.07418,13.762535,16.501686,N
68.52398,9.347688,8.155404,P
34.36556,10.527031,4.135279,P
56.13024,27.221416,15.040039,N
16.86525,17.593501,13.805299,N
34.08707,10.719397,15.622916,N
28.37989,17.611137,6.532097,P
42.11924,12.990954,12.898063,P
43.24167,25.106435,14.3351,N
65.75271,9.635161,12.580376,N
27.08314,18.81928,7.210111,N
39.00391,25.113156,7.527101,N
11.12905,10.711837,15.279165,N
35.86855,13.06269,12.392949,N
14.45898,15.544526,7.149371,P
32.20735,12.317372,15.944034,P
21.86037,25.275787,10.202878,N
62.46868,30.654664,7.75773,N
28.73563,21.506283,18.987976,P
57.94793,23.483752,14.6205,P
49.08492,18.341805,9.146634,N
51.38423,24.154684,7.217355,P
65.3194,22.779173,24.000638,P
21.42397,10.375911,4.805093,P
40.56745,25.876966,4.978598,N
22.30729,25.311743,7.357661,P
46.17756,28.757758,14.406738,N
32.61348,28.147397,11.229384,N
35.69324,15.28848,8.571042,P
25.64675,24.894583,16.51951,N
33.45842,16.072455,7.516607,P
17.94774,22.869404,12.244132,N
24.97695,17.059244,7.025698,N
26.06295,19.228087,12.471708,P
37.074209,12.054225,10.577299,P
50.145644,20.432791,14.827398,N
45.894465,23.306921,11.422464,N
29.092289,17.965693,7.316784,N
32.736695,11.131794,0.438644,N
19.121241,14.403468,4.059703,P
29.546485,6.010363,12.374825,P
7.8561,16.510934,7.017168,N
47.864377,18.161775,8.802694,P
37.665284,7.841696,11.496786,N
52.64526,14.60064,15.070447,N
39.317637,24.600455,9.404122,N
35.184352,16.916899,12.404065,P
44.772712,13.435436,14.743628,P
38.626086,28.922467,17.574533,P
81.825211,15.010754,11.017352,P
32.284513,4.932399,6.701424,P
23.701009,19.853431,10.052924,P
25.120912,20.899101,13.749544,P
36.122073,14.723779,10.170897,N
47.262737,23.34056,9.440706,N
39.442779,21.185578,11.275533,N
31.085489,25.274501,7.36396,N
35.864499,9.05206,0.687538,P
2.728725,27.831873,8.778906,P
52.280063,29.275477,7.530894,N
50.91198,22.914807,10.752986,P
19.043665,25.013887,12.276116,N
31.325803,17.69621,18.544535,N
40.289338,13.231282,10.226687,P
24.395059,8.759273,10.411271,N
35.390493,23.964461,3.478025,N
16.95552,12.609496,7.301951,P
41.919907,23.011223,6.648338,N
22.206304,14.320234,2.484769,N
10.890699,25.223885,6.642197,N
14.515613,14.18368,8.589298,P
44.387437,22.232506,9.864685,N
36.373961,12.774156,9.787532,P
39.287838,11.027934,1.970662,P
49.159873,31.850545,10.947998,N
56.713665,15.550749,5.478812,N
21.843252,-6.310782,10.327117,P
25.007608,10.04122,6.053322,N
19.512312,31.070449,9.126699,N
35.649817,16.500583,10.16063,N
29.34352,29.213644,11.53049,N
28.654585,10.995939,9.743129,N
26.481258,22.897043,6.199302,N
17.574513,21.008896,4.776879,P
14.745761,15.379122,5.930757,N
30.476245,14.713553,0.98632,N
15.599984,24.0994,15.036671,N
20.846575,16.604952,10.506847,P
31.28186,15.324347,9.34153,N
26.094295,17.441468,10.018976,N
55.26004,32.649243,4.348041,N
32.292235,14.943276,9.510996,P
42.816032,17.077227,11.136443,P
14.50847,26.475944,10.462785,P
83.65651,10.92131,3.942202,N
17.240728,15.747884,14.37141,N
43.353164,18.704397,7.578681,N
46.723013,17.614582,1.854982,P
65.894273,14.525974,4.817583,N
8.658318,20.484135,7.099211,P
52.892889,20.346021,4.730326,N
42.528522,22.356867,-1.030129,N
25.651633,7.98823,3.363861,N
8.516448,19.960273,6.338111,P
41.136959,14.19106,7.222701,N
57.248955,20.741128,7.626993,N
45.09167,19.306688,6.704795,P
21.091764,6.094573,13.310732,N
12.779801,19.871117,3.727814,P
22.866252,15.409502,5.45167,N
28.875205,27.861005,10.058162,N
31.573343,20.84441,9.160551,N
26.744515,16.530181,10.601393,N
33.596947,19.40001,5.86099,P
19.824794,14.989779,1.998316,P
13.922255,11.573012,7.236698,P
49.599058,30.848871,7.171741,N
21.641193,16.841632,6.975814,N
31.666606,19.424372,12.673726,N
23.23718,19.707776,14.170457,P
28.438284,17.439622,14.55412,P
27.488401,17.407419,16.010398,P
24.258916,16.963809,5.502446,P
24.092453,25.693573,11.779523,P
49.525327,23.98326,20.847621,P
33.214926,11.758655,14.591311,N
39.379131,15.788858,8.268803,P
40.727881,25.362405,12.730635,P
23.021461,16.777963,15.060052,P
47.016278,21.158621,4.287765,N
19.342861,18.568214,15.096929,P
18.458848,9.417552,11.885685,P
36.311979,11.111835,11.381045,P
23.640941,11.143291,15.996179,N
22.305292,21.371642,15.718804,P
48.920872,22.938706,15.394387,P
39.705451,12.468742,17.423251,N
42.43172,13.36649,7.785513,N
15.52633,14.375689,20.392424,N
51.622836,35.19825,14.029221,N
20.375384,26.142596,23.238544,P
28.622994,12.186573,15.106834,P
37.492256,20.786155,12.341873,P
47.420208,16.580938,16.866407,N
37.933118,11.732772,16.187323,P
30.835453,3.997847,12.607528,P
26.039689,25.486007,13.318762,N
6.150618,15.690504,14.992562,N
43.963611,14.762327,9.213148,P
62.353122,22.016514,10.544954,P
33.459499,24.467959,14.173309,N
42.370395,23.681678,16.754979,P
68.909032,22.652232,9.004232,P
11.542388,25.570083,5.644856,P
60.275006,18.840036,13.822594,P
61.855958,20.035632,6.533289,P
80.385534,19.047136,15.552517,P
24.898383,21.681257,16.055227,P
46.874079,19.42939,14.132668,P
48.285992,14.414918,21.196079,P
47.494484,10.370517,11.316772,N
36.941206,23.767503,10.313056,P
50.404016,23.823986,6.56925,P
73.020095,18.346506,23.161809,P
44.914015,23.55019,9.473841,P
33.857562,24.95567,10.955933,P
58.845713,22.612939,16.586728,N
18.567595,27.570416,19.328903,N
35.893591,25.553345,13.72169,N
19.288932,20.755401,11.754244,N
32.685064,24.855597,7.130173,P
32.345104,24.291573,8.863324,P
42.789621,18.917384,9.790548,P
25.943034,15.98592,10.142998,N
31.024869,28.005089,14.014655,N
10.028141,18.901784,11.352723,P
21.091225,19.909531,15.432518,N
44.557966,16.291195,14.650198,N
43.84261,11.502199,10.884415,N
51.844771,6.863473,16.751298,P
48.366901,15.374295,15.063854,N
15.049433,18.131293,7.797814,N
24.085279,14.09657,12.696297,N
23.090289,22.448253,8.267808,P
50.487527,23.416544,4.250139,N
32.675075,19.111074,8.790329,N
30.760601,9.208963,14.516677,P
43.244659,13.547581,14.550241,P
27.037359,32.516286,6.69269,P
45.327094,13.800316,5.861833,N
48.972799,18.138785,12.910705,P
22.234546,20.209026,12.548671,P
37.157754,22.515713,10.255256,P
41.137353,22.459443,7.251903,P
51.251756,22.048265,10.085052,N
30.465874,18.110451,12.950023,N
31.724535,31.332183,17.033089,N
27.326588,29.761252,7.22158,N
47.802589,14.928939,7.485578,N
4.232027,18.990921,12.439811,N
50.271136,15.622745,7.657565,P
75.659054,28.074918,7.954888,P
21.207396,24.099948,10.215657,P
42.456853,15.595166,5.001775,P
46.940524,14.983617,14.905301,N
38.48781,21.964773,8.559099,P
36.771493,9.78364,7.385785,N
44.819971,20.285358,13.808692,P
84.243237,20.981075,7.295888,P
50.230148,23.119168,6.83064,N
49.653252,25.345574,14.185483,P
57.116688,20.73771,13.235407,N
58.065121,12.158621,11.069389,P
49.200961,26.286302,7.67043,P
45.541705,19.810188,13.902333,N
30.053865,13.08573,10.951062,P
25.360557,13.476606,6.466796,P
27.548348,29.735906,9.503326,N
25.112108,23.670437,8.649818,N
41.663875,20.904836,6.976389,P
34.023181,23.67366,3.710643,N
15.660952,15.619763,6.338838,N
20.448063,12.181204,5.149451,N
54.369324,21.553042,4.223069,P
28.554162,14.175905,3.523558,P
48.535152,27.884874,5.146436,P
68.861372,16.577061,7.839388,N
47.48777,4.1356,9.081993,N
49.954065,28.159756,15.317628,P
43.341587,19.036537,6.316183,N
8.411624,25.80496,2.614963,P
20.417313,13.297668,4.027882,N
59.324862,22.443649,1.467017,P
16.21884,24.561861,6.745086,N
22.777832,21.870897,11.290018,P
46.782455,22.493447,8.326857,P
47.677704,41.6022,10.494469,N
48.91399,31.118785,3.632215,P
82.953025,17.087756,5.084417,P
61.567497,16.527811,7.643033,P
57.366921,13.839614,10.888123,N
51.911664,10.98572,8.952905,P
37.557332,19.11438,10.642286,P
34.731941,2.620354,10.111776,P
47.063332,10.01015,4.540029,N
74.981233,4.512034,8.828473,P
50.607556,6.228905,11.28851,P
38.905081,9.32239,10.656545,P
44.545583,10.680492,5.530664,N
54.734513,13.265416,11.362421,P
50.521634,22.632326,14.639977,P
48.514243,10.786476,3.181664,P
62.730942,11.889536,13.482875,P
37.892442,22.506772,10.834014,P
