@relation house_8L.arff

@attribute P3 numeric
@attribute P6p4 numeric
@attribute P11p3 numeric
@attribute P16p2 numeric
@attribute P19p2 numeric
@attribute H5p2 numeric
@attribute H15p1 numeric
@attribute H40p4 numeric
@attribute binaryClass {P,N}

@data
7074,0.004964,0.507478,0.579729,0.036613,0.020244,6.618785,0.774059,N
597,0.003871,0.48,0.695142,0.00335,0.170732,7.163934,0.142857,P
1931,0.00232,0.477747,0.683584,0,0.117647,6.185848,0.6875,P
164,0,0.492505,0.780488,0,0.1,6.619835,1,P
119,0,0.480645,0.756303,0.672269,0,6.161616,0,P
164,0,0.43167,0.792683,0.054878,0.25,5.053097,0.5,P
261,0,0.481328,0.724138,0,0,6.592179,0,P
32112,0.023783,0.538467,0.614848,0.263982,0.069681,6.711423,0.248781,N
1209,0.005426,0.523906,0.674938,0.004136,0.047138,6.731305,0.571429,N
1263,0.021381,0.514254,0.885986,0.009501,0.114286,6.551098,0,N
983,0.122385,0.551915,0.671414,0.032553,0.113636,7.842697,0.4,N
4145,0.006056,0.473585,0.635464,0.029192,0.138756,6.565237,0.206897,P
67,0.005348,0.449198,0.701493,0,0.153846,5.078431,0,P
921,0.003761,0.487672,0.723127,0.348534,0.213115,5.945724,0.384615,P
342,0.00545,0.542234,0.681287,0.005848,0.084,5.858974,0.285714,N
65,0,0.40636,0.907692,0,0,5,0,P
253,0.000896,0.366488,0.865613,0.003953,0,4.047619,0,P
505,0,0.399374,0.80198,0,0.038095,4.692308,0.25,P
147,0,0.482587,0.768708,0.013605,0.071429,6.10084,1,P
1348,0.000635,0.480647,0.660979,0.021513,0.228571,6.044517,0.625,P
13242,0.045329,0.525656,0.660701,0.093944,0.198006,5.679254,0.251799,N
389,0.000944,0.503305,0.789203,0,0.346154,6.280864,0.555556,P
57,0,0.535484,0.736842,0,0.142857,5.68,1,P
5779,0.049929,0.572784,0.575186,0.070774,0.24159,6.779226,0.759494,N
2503,0.002635,0.50606,0.618458,0.001598,0.06422,5.984604,0.428571,P
320,0,0.456323,0.69375,0,0.476191,6.146718,0.8,P
124,0,0.445614,0.66129,0,0.307692,5.370787,0.75,P
947,0.015879,0.479807,0.755016,0.023231,0.040462,5.230133,0.285714,P
816,0.002772,0.470621,0.596814,0.01348,0.153846,6.464789,0.5,P
44,0,0.574074,0.704546,0,0.042553,5.051282,0.5,P
142,0,0.531447,0.619718,0.014085,0.285714,6.195876,0.5,P
542,0,0.475254,0.769373,0,0.287671,5.396752,0.476191,P
674,0.003715,0.489783,0.651335,0.35905,0.160494,5.821853,0.384615,P
1224,0.000339,0.484068,0.675654,0.000817,0.135417,6.140069,0.692308,P
956,0.000837,0.477206,0.675732,0,0.059702,6.714953,0.5,P
1099,0.00179,0.418397,0.67061,0.010009,0.119497,5.648712,0.789474,P
843,0.004615,0.470256,0.629893,0.011862,0.088889,7.027668,0.75,P
11164,0.028953,0.504968,0.539144,0.012003,0.173242,6.30799,0.623762,N
247,0.001653,0.480992,0.696356,0,0.071429,5.805687,1,P
64,0,0.5,0.734375,0.15625,0.2,6.293103,0.666667,P
2963,0.042984,0.412428,0.971988,0.360446,0.034091,4.545455,0,P
122,0,0.555556,0.745902,0,0.037736,6.394495,0.318182,N
5335,0.005385,0.514467,0.711153,0.059606,0.131637,5.734034,0.781513,P
5019,0.010047,0.573002,0.861327,0.019327,0.659942,6.774521,0.344978,N
4708,0.017403,0.568888,0.809261,0.01678,0.300546,6.636196,0.2,N
172,0,0.483796,0.703488,0,0,6.07971,0,P
3916,0.003739,0.541789,0.724975,0.001022,0.2,6.790668,0.208333,N
4616,0.060668,0.429992,0.795277,0.003033,0.231293,5.522822,0.470588,N
460,0.000784,0.512157,0.763044,0,0.285714,6.563025,0.25,N
670,0.030685,0.54411,0.68806,0.007463,0.173077,6.261333,0.222222,N
339,0,0.50495,0.696165,0.0059,0.166667,6.385214,0.666667,P
37,0,0.466019,0.675676,0,0.166667,6.178571,1,P
202,0,0.411135,0.643564,0,0.333333,6.754967,0.571429,P
287,0.001328,0.47676,0.728223,0,0.368421,5.767857,0.428571,P
1076,0.005992,0.555925,0.72026,0.003718,0.441861,6.069422,0.052632,N
87,0,0.457983,0.724138,0.436782,0,5.222222,0,P
515,0.001497,0.426647,0.642718,0.182524,0.11,5.443396,0.545455,P
1051,0.003593,0.368159,0.679353,0.005709,0.225,6.429578,0.222222,N
214,0,0.446309,0.780374,0.004673,0.157895,6.066225,0.333333,P
48,0,0.463415,0.708333,0.041667,0.142857,6.228571,1,P
300,0.004076,0.456522,0.68,0.003333,0.222222,5.307692,0.5,P
740,0.014669,0.56955,0.75946,0.005405,0.227723,6.120482,0.347826,N
470,0.004505,0.429215,0.812766,0,0.037037,6.610215,0.375,N
879,0.001919,0.552015,0.810011,0,0.15,6.121495,0.5,P
286,0,0.525773,0.590909,0,0.125,6.268156,1,P
654,0.006739,0.406334,0.633028,0,0.169492,6.318182,0.7,P
954,0.001543,0.434799,0.692872,0.214885,0.236364,5.787736,0.807692,P
1094,0.011494,0.449017,0.644424,0.001828,0.2,6.445736,0.384615,P
2211,0.014938,0.423592,0.573044,0.004975,0.135021,6.395387,0.34375,P
18112,0.040573,0.518667,0.711241,0.009883,0.188172,5.829371,0.257143,N
366,0,0.481818,0.724044,0.005465,0.117647,6.359862,0.5,P
118,0.003413,0.481229,0.677966,0.008475,0.178571,6.053763,0.8,P
45,0,0.46875,0.577778,0,0,5.317073,0,P
1775,0.002676,0.492642,0.458592,0.002254,0.03949,4.798069,0.435484,N
107,0,0.386064,0.859813,0,0.032258,3.588235,1,P
3298,0.001502,0.403098,0.874166,0.002729,0.065195,4.774126,0.467742,P
392,0.005988,0.462076,0.752551,0,0.125,5.481967,0.857143,P
1125,0.004533,0.436541,0.675556,0,0.238095,6.305627,0.6,P
44,0.052083,0.333333,0.568182,0,0.571429,6.083333,0.75,P
20,0,0.36,0.75,0,0.285714,6.117647,1,P
692,0.003802,0.491581,0.706647,0.00289,0.163265,6.914712,0.625,P
33,0,0.420561,0.787879,0,0.142857,5.222222,0,P
102,0,0.448276,0.72549,0.421569,0.2,5.634146,0.666667,P
231,0,0.594306,0.675325,0.004329,0.230769,6.866279,0,N
287,0.001248,0.468165,0.763066,0,0.043478,6.374269,1,P
1174,0.002725,0.440395,0.704429,0.000852,0.126394,5.797018,0.676471,P
4443,0.007486,0.423189,0.633581,0.002476,0.128514,6.759484,0.65625,P
294,0.002662,0.429459,0.785714,0,0.074074,4.609023,0.25,P
692,0.004869,0.658551,0.540462,0.00289,0.024829,5.625387,0.310345,N
84,0,0.529661,0.761905,0,0,6.327869,0,P
281,0.001493,0.543284,0.69395,0.007117,0.060606,6.227027,0.5,P
819,0.000401,0.460891,0.774115,0.035409,0.08377,5.14697,0.625,P
1611,0.002416,0.537305,0.706394,0.004345,0.25,5.999284,0.25,N
132,0,0.490814,0.810606,0,0.222222,5.964602,1,P
212,0.001934,0.433269,0.688679,0,0.025,5.472441,1,P
3214,0.001537,0.476384,0.618544,0.077162,0.123153,6.108233,0.64,P
124,0,0.473684,0.75,0,0,6.10101,0,P
719,0,0.474873,0.691238,0.047288,0.060241,5.892774,0.6,P
539,0.005673,0.557537,0.628943,0,0.190476,6.76378,0.25,N
244,0,0.458108,0.754098,0,0.090909,5.437209,1,P
825,0.000895,0.486583,0.730909,0.002424,0.176471,5.681648,0.166667,N
7477,0.00308,0.480134,0.695734,0.001739,0.229851,6.484452,0.376623,P
59,0,0.419355,0.728814,0,0.125,6.767857,1,P
339,0.001218,0.483557,0.693215,0,0.180723,5.570881,0.866667,P
1198,0.049838,0.548511,0.884808,0.005008,0.64,8.815584,0.09375,N
201,0.009346,0.537383,0.875622,0.00995,0.066667,6.363095,0,P
1499,0.0088,0.589098,0.78986,0.001334,0.040698,6.675536,0.428571,N
8150,0.004053,0.458095,0.739877,0.050061,0.160517,5.722453,0.431035,P
51,0,0.396396,0.607843,0,0,5.473684,0,P
235,0,0.450704,0.67234,0,0.025,5.49,1,P
928,0.003367,0.503127,0.563578,0.001078,0.095238,5.747727,0,N
587,0.000671,0.458753,0.659285,0.001704,0.071429,6.036176,0.5,P
3926,0.007878,0.311922,0.510189,0.008151,0.12782,6.553337,0.205882,P
