@relation fri_c2_1000_25

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute binaryClass {P,N}

@data
-0.252113,-1.196793,-0.275898,-0.586917,0.297811,-1.476138,0.896573,1.38966,-1.277794,-0.757802,1.46907,-1.526561,-1.661415,-1.02523,1.342748,0.002982,-0.376952,-1.001264,1.587936,-1.057255,-0.350072,-0.484719,1.66867,-1.148505,-0.05416,N
-0.562322,-0.382739,0.906999,1.504261,-0.388419,-1.000999,-0.896809,-1.270531,-0.346731,-0.04667,-0.542314,1.005902,-1.325129,1.699674,-0.225477,1.202686,0.202637,0.277077,1.268133,0.015644,-0.191306,-0.164337,-0.639492,0.026711,1.673594,N
-0.629557,-1.225603,-1.150791,-0.854846,-1.555201,1.033293,-0.748434,0.95113,1.104371,1.577782,-0.234935,-0.815644,-1.663309,-1.465189,-1.346618,-1.129876,1.663414,0.869146,0.406481,-0.239943,1.680955,-0.608956,1.584262,-1.026211,-0.630937,N
1.494266,1.530612,-0.021953,-0.578228,-0.873307,1.641711,1.311164,1.487409,1.29221,0.94522,-0.523243,1.389601,-0.282323,0.107054,0.638693,-1.2322,-0.783364,-1.609721,1.226026,0.118097,0.191664,0.964181,0.601845,1.764754,-1.032771,N
2.313145,1.465436,0.259586,-0.802564,0.32684,-1.669161,1.383172,-0.68793,-1.051733,-0.05362,0.760557,-0.529253,0.478514,0.846005,-1.297438,0.102433,1.171885,-1.050092,1.495322,-1.347655,-0.77697,-1.056251,0.830583,1.447208,-0.637762,P
0.322378,0.745754,0.173281,-0.006814,-0.932243,1.412733,-1.5417,-1.529758,-1.516577,0.535439,-1.584631,-1.598535,0.129533,-0.662843,-0.312308,-1.019684,0.608784,-0.153049,0.386199,0.330574,0.989389,-1.036152,-1.11745,-1.505618,-0.416648,P
-0.63215,-0.097746,-0.81507,-1.528786,1.655099,0.217796,-0.339874,0.174061,1.596636,1.239019,1.557796,-0.577044,1.427714,0.942492,1.119646,0.941125,-1.19214,0.45161,0.605511,0.697441,-1.342393,0.713098,-0.586312,-1.184783,-0.512771,N
-0.644852,-0.119501,0.02829,0.262718,0.454453,1.014906,-0.758735,0.738954,0.412625,0.094098,-0.756351,1.143823,0.018096,-0.915671,-1.513721,-1.394517,0.85129,-0.694445,0.507999,1.506943,-0.733983,-0.9259,0.279707,-0.390905,0.422528,N
-0.294947,-0.307184,-0.305131,-0.841689,1.173825,1.110976,0.772551,-0.514507,-0.777363,0.808769,1.285332,-1.54692,1.073858,-0.477651,-0.135355,0.543056,-0.903433,-1.691018,0.706201,-1.548878,-0.154253,0.726373,0.825118,1.072799,1.621157,N
-1.855749,-1.745775,-1.57497,0.407018,-0.709813,-0.513555,0.41851,-1.15217,0.166429,-0.440016,-0.350942,-1.26423,-0.350079,-1.745091,-0.455361,0.99734,1.281463,0.426949,-0.123851,0.998456,0.625698,1.398353,0.345756,-0.896378,0.239161,N
