@relation fri_c2_1000_5

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute binaryClass {P,N}

@data
-0.917226,-0.481465,-0.907335,-0.39908,1.485733,N
-1.090566,-0.575185,-0.202853,0.74939,-0.819865,N
0.876946,0.24748,-0.299574,-0.090049,-1.554089,P
-0.509995,0.092276,0.948843,1.000807,1.060326,N
-0.703328,-1.364161,-0.77321,-1.591865,0.463722,N
0.89355,0.359354,1.236166,1.457618,-0.072889,P
0.271911,-0.401582,0.319279,0.726654,-0.463634,N
1.47002,1.536858,2.600694,1.575099,1.604209,N
0.985527,1.20024,2.420908,1.132959,-1.412367,P
-0.361175,-0.471125,0.808426,1.044495,-0.242832,N
-1.521129,-1.071543,-0.932077,-0.646525,1.21041,N
-0.844168,-0.888392,-0.744605,-0.218874,-0.380689,N
-1.797215,-1.329792,-1.10765,1.195037,1.156653,N
-0.103015,0.558646,0.831919,0.49713,-0.940266,P
1.04166,0.187313,0.856584,1.24918,0.427802,P
0.875675,1.592807,0.722251,-0.624873,-0.526893,P
-0.049021,-0.030261,-0.191972,-0.442805,1.083835,N
0.059218,-0.63624,0.117939,0.543007,-1.003097,N
-0.275559,0.386852,0.538052,0.660698,-0.184636,N
0.423652,0.534934,1.116785,1.096473,1.624013,P
-1.486474,-1.723398,-1.166078,-0.394752,0.151993,N
-0.502842,-0.230821,-0.021249,-0.164736,-0.63145,N
0.507799,0.800122,-0.10963,-0.524715,-0.713753,P
-0.199826,-0.354,-0.22128,0.752374,-1.594746,N
-0.425956,-1.137337,-2.101977,-0.101992,1.689992,N
0.610626,0.974022,-0.452114,-0.994903,-0.97577,P
1.683219,1.537375,2.625131,0.929721,0.270624,N
1.968715,1.122477,2.184414,1.148006,1.391976,N
-0.860044,-0.825674,-0.591143,0.623858,-1.351005,N
1.004271,0.575813,1.449694,1.375909,-1.391099,P
1.19012,0.887644,-1.406737,-1.764547,-0.314553,P
0.771597,1.37673,1.164775,0.77746,1.304356,P
-1.158374,-0.500911,0.213921,0.195382,-0.461184,N
-1.109066,-1.727704,-0.284863,-0.087258,-1.622321,P
-0.386697,-1.607037,-0.991026,0.412899,0.689007,N
-0.098645,0.5659,0.661151,0.344313,0.169565,P
-0.055714,0.160181,1.223856,1.448401,-0.145474,N
-0.289634,0.473698,0.808923,0.379319,-0.628092,N
0.154392,-0.469974,-0.933183,-0.580884,-0.919108,N
-0.115306,-0.794417,-0.566091,-0.266495,-1.47869,N
0.626493,0.887026,1.038057,0.098114,1.116991,P
0.240931,0.926834,1.276292,0.979227,-1.038771,P
1.161558,1.205694,2.555269,1.292156,-1.326705,P
0.975926,0.671379,0.378683,-0.310631,-0.765507,P
-0.974384,-1.148362,-0.621351,0.955313,-0.782609,N
-0.72528,-0.728773,-0.262979,0.983363,1.276428,N
0.317182,-0.341141,-0.475017,-0.950642,-1.130249,N
0.266058,0.098657,-0.79961,-0.601596,-1.152287,P
0.023659,-0.520788,-0.335626,-1.329189,0.862095,N
0.98448,0.517722,0.233529,-0.618342,-1.600384,P
0.875621,0.159723,0.195045,0.522718,-1.082011,P
-0.554122,-0.962008,-1.26101,-1.538342,-0.238046,N
0.455785,1.092013,2.379009,1.094877,0.257049,P
-2.062385,-1.734261,-0.907093,0.181647,1.197237,N
-0.330769,-0.256957,0.571854,0.959515,-0.793481,N
-0.616437,-0.874108,-0.293191,1.259018,-0.746424,N
1.628327,1.511773,0.262799,-0.919746,-1.218903,N
0.904618,0.399008,0.608188,0.420014,-1.062716,P
1.398079,0.823626,1.854944,1.648608,-1.161921,P
-0.570135,-0.543354,-0.440718,0.677188,0.629346,N
-0.24425,-0.238371,0.707345,1.111529,0.579361,N
-0.245192,0.645619,0.51542,-0.050182,-0.899768,P
-0.881477,-1.646304,-1.343278,-0.963138,-0.634256,P
0.163265,-0.603504,-0.674612,-0.375181,-1.406486,N
0.548912,1.459094,2.675499,1.091343,-0.514851,P
1.451744,1.383684,1.16398,-0.014968,-0.333612,N
0.990733,0.748812,-0.148376,-0.552005,-0.53204,P
1.126264,0.490148,0.804214,1.129555,-0.27762,P
-0.346339,0.010928,-0.321548,0.039287,0.780341,N
1.70432,0.927182,0.207024,0.049707,-1.166999,P
