@relation fri_c2_1000_10

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute binaryClass {P,N}

@data
-1.505741,-0.985161,-1.624396,-0.855436,-1.432705,-0.810323,-0.601729,0.011489,0.440476,-0.325924,N
2.234548,1.775466,1.661959,0.502329,0.784906,-0.947669,1.288117,-1.384229,-0.514454,-1.625309,N
1.679497,1.33636,2.362884,1.12415,1.068917,-1.159347,-1.603198,0.117568,-1.024912,0.751298,N
-1.700708,-1.331108,-1.070706,-0.785745,0.151469,-0.376526,-1.193224,0.003769,-1.591838,-0.443837,N
-1.21168,-0.480722,-0.600695,-1.577293,-1.490286,1.652986,1.188035,-0.82625,0.832148,1.220075,P
0.490277,0.212229,1.526904,0.976586,0.011235,-1.450403,0.63519,-1.076253,1.588943,1.703396,P
-0.6897,-0.049872,-0.299029,0.475795,-0.502137,0.718206,0.755151,-0.099697,0.781256,0.927392,N
0.063466,-0.610241,-0.124463,-0.237678,0.907702,0.876735,-0.857752,0.867152,1.43175,0.839141,N
-0.613946,-0.546918,0.531347,1.353863,1.012377,-1.022361,-1.421458,-0.255845,-0.64559,1.245319,N
-0.653721,-1.401781,-0.857515,1.364247,0.360752,-0.998315,-1.610184,0.744591,1.344029,-1.483691,N
-0.307074,0.279564,-0.138731,0.383269,-1.597578,-0.769092,-1.354533,-1.29632,-0.171902,1.692917,N
0.553232,-0.128188,0.14105,-0.399416,0.384983,-0.323118,0.682406,0.43672,0.937602,1.592494,N
0.872387,1.163401,0.121553,0.311675,1.306437,-0.333498,-0.495328,1.49143,0.488597,0.519341,P
-0.672871,-0.57308,-0.7939,-0.949797,0.598679,-1.369613,1.043523,0.46226,0.24747,-0.533329,N
-0.006763,0.145324,-0.154656,-0.498395,-0.190521,0.903952,-1.152506,-0.096508,-1.003723,-0.44931,N
-0.687681,-1.471648,0.095742,-0.517444,1.628776,0.73436,0.759159,0.747207,1.67307,-0.777565,P
-1.699642,-1.699915,-1.008906,-0.687465,-0.405364,0.378205,-1.161799,-0.741962,0.639889,-0.555815,P
-1.402903,-1.683904,-1.054445,0.222594,-1.581241,0.954165,0.045679,0.772791,0.260482,0.772513,P
-0.660408,-0.605679,-0.967073,-1.590981,0.113994,1.28213,1.209826,0.501174,1.269771,-1.419623,N
-0.645865,-0.466781,-0.614787,-0.958386,1.100656,-0.219428,1.577232,0.503061,0.092756,1.492626,N
-1.265525,-0.628628,-0.346031,-1.62771,0.226221,0.62931,-0.313923,0.924339,-0.810344,0.235981,N
1.363239,0.764875,1.416116,0.589169,0.381573,0.74548,0.982779,1.24925,0.61713,-0.243074,P
0.690541,1.613607,2.981326,1.760392,-1.174907,-0.809503,0.786941,-0.904691,-0.672959,1.575277,P
0.461289,0.458714,-1.042168,-0.990093,1.448682,1.154418,-0.325521,-0.403792,0.503917,1.357639,P
0.83396,1.044233,0.736526,-0.14449,-1.146664,-1.011017,1.390473,1.096794,-0.502633,-1.423772,P
0.38581,0.810348,1.441805,0.534381,0.997323,-1.162124,-0.988826,1.165537,1.477332,-0.100204,P
-0.473701,-0.334111,-0.631658,-0.45782,-1.525742,0.083287,0.631775,1.100249,-0.526113,0.33558,N
1.920064,1.582414,0.087293,-1.321865,0.37907,0.037095,0.177465,1.452517,-1.401748,1.670352,N
-0.635977,-0.788654,0.641146,1.539738,1.259518,-0.292551,-0.728965,-0.011399,-0.500892,-0.619609,N
-0.177044,-0.027334,-0.534233,-1.544793,-0.547559,1.494607,0.073776,-1.220357,-0.668446,-1.104388,N
-0.829255,-0.101701,0.376728,0.673532,-1.151188,-0.726123,1.179772,0.22125,0.580529,0.641329,N
-1.133765,-1.371748,-0.949927,-1.396417,1.086617,-0.577795,1.376853,-0.93183,-1.466231,1.20391,P
0.07278,-0.716126,-1.524611,-1.409145,-0.293553,1.075763,0.680385,0.440829,-0.815326,-0.042076,N
0.896585,0.52072,1.912479,0.645039,-1.521321,1.25811,-0.864864,1.283658,0.102957,-0.000248,P
0.809956,0.028636,-0.253283,0.265291,-0.448485,-0.67029,0.307359,0.523275,0.959739,0.251972,P
0.034568,0.804804,2.066894,1.357449,1.247213,1.217621,-0.308261,-1.527753,-0.821854,-1.621959,P
1.283637,0.579626,-0.141709,0.233663,0.882182,0.2355,-0.156764,-1.529835,0.549051,1.674343,P
0.069205,0.593832,-0.196527,-0.478708,0.573501,1.595827,-1.517601,-0.681951,-0.136788,0.026759,P
1.378498,1.798502,1.94137,0.342369,-0.081702,0.409361,1.40871,-1.721301,0.05786,1.070063,N
-0.617377,-0.888497,-0.82296,-0.400112,0.648764,-1.548855,-1.179976,-0.610049,-0.51256,-1.521752,N
1.871864,1.57196,3.012251,1.387357,0.71983,-0.803762,1.183199,0.134673,1.313612,1.416987,N
1.721051,1.329272,1.411136,0.41761,-1.68705,0.962017,0.607082,0.55137,-1.325015,0.541148,N
-0.946971,-0.369412,-1.07922,-0.774978,-0.442166,-0.137244,0.36069,0.479441,0.765406,-0.089713,N
-0.583134,-1.38014,-0.979806,1.405351,-1.085943,1.265204,0.785523,0.462626,-0.485192,-0.311322,N
