@relation arsenic-female-lung

@attribute group {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43}
@attribute conc numeric
@attribute age numeric
@attribute at.risk numeric
@attribute binaryClass {P,N}

@data
1,0,22.5,2595529,N
1,0,27.5,1846189,N
1,0,32.5,1402764,N
1,0,37.5,1215899,N
1,0,42.5,1191615,N
1,0,47.5,1111810,N
1,0,52.5,957985,N
1,0,57.5,774836,N
1,0,62.5,634758,N
1,0,67.5,492203,N
1,0,72.5,342767,N
1,0,77.5,199630,N
1,0,82.5,96293,N
2,10,22.5,934,P
2,10,27.5,489,P
2,10,32.5,276,P
2,10,37.5,317,P
2,10,42.5,374,P
2,10,47.5,435,P
2,10,52.5,342,P
2,10,57.5,277,P
2,10,62.5,203,P
2,10,67.5,175,N
2,10,72.5,105,P
2,10,77.5,78,P
2,10,82.5,38,P
3,11,22.5,666,P
3,11,27.5,267,P
3,11,32.5,310,P
3,11,37.5,221,P
3,11,42.5,311,P
3,11,47.5,292,P
3,11,52.5,295,P
3,11,57.5,265,P
3,11,62.5,203,P
3,11,67.5,143,P
3,11,72.5,93,P
3,11,77.5,69,P
3,11,82.5,59,P
4,30,22.5,1003,P
4,30,27.5,591,P
4,30,32.5,481,P
4,30,37.5,405,P
4,30,42.5,462,P
4,30,47.5,397,P
4,30,52.5,392,P
4,30,57.5,353,P
4,30,62.5,317,P
4,30,67.5,199,P
4,30,72.5,115,P
4,30,77.5,71,P
4,30,82.5,75,P
5,32,22.5,1545,P
5,32,27.5,865,P
5,32,32.5,673,P
5,32,37.5,709,P
5,32,42.5,744,P
5,32,47.5,644,P
5,32,52.5,563,P
5,32,57.5,439,P
5,32,62.5,318,P
5,32,67.5,238,P
5,32,72.5,167,P
5,32,77.5,92,P
5,32,82.5,36,P
6,32,22.5,469,P
6,32,27.5,260,P
6,32,32.5,198,P
6,32,37.5,199,P
6,32,42.5,183,P
6,32,47.5,227,P
6,32,52.5,162,P
6,32,57.5,219,P
6,32,62.5,194,P
6,32,67.5,126,P
6,32,72.5,77,P
6,32,77.5,35,P
6,32,82.5,43,P
7,42,22.5,2063,P
7,42,27.5,1267,P
7,42,32.5,1101,P
7,42,37.5,1038,P
7,42,42.5,984,P
7,42,47.5,932,P
7,42,52.5,738,P
7,42,57.5,567,P
7,42,62.5,497,P
7,42,67.5,427,P
7,42,72.5,321,P
7,42,77.5,178,P
7,42,82.5,114,P
8,45,22.5,1432,P
